Batman Begins,"28,80,18"
Secret Love: The Schoolboy and the Mailwoman,"18,10749"
Harry Potter and the Goblet of Fire,"12,14,10751"
Mr. & Mrs. Smith,"28,35,18,53"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","12,10751,14"
Wallace & Gromit: The Curse of the Were-Rabbit,"12,16,35,10751"
Madagascar,"10751,16"
Charlie and the Chocolate Factory,"12,35,10751,14"
Transporter 2,"28,53,80"
King Kong,"12,18,28"
Constantine,"18,14,27"
Chicken Little,"16,10751,35"
Fantastic Four,"28,12,14,878"
Sin City,"28,53,80"
Ice Princess,"18,35,10751"
War of the Worlds,"12,53,878"
Star Wars: Episode III - Revenge of the Sith,"878,12,28"
Elizabethtown,"35,18,10749"
The Island,"28,53,878,12"
Kingdom of Heaven,"18,28,12,36,10752"
Nanny McPhee,"14,35,10751"
Serenity,"878,28,12,53"
The Hitchhiker's Guide to the Galaxy,"12,35,10751,878"
Elektra,"28,14,878"
Brokeback Mountain,"18,10749"
Æon Flux,"28,878"
The Exorcism of Emily Rose,"80,18,27,53"
The Legend of Zorro,"28,12"
Lord of War,"80,18,53"
Saw II,27
xXx: State of the Union,"28,12,80,18,9648,53"
Corpse Bride,"10749,14,16"
Lilo & Stitch 2: Stitch has a Glitch,"16,35,10751"
Coach Carter,18
Pride & Prejudice,"18,10749"
The 40 Year Old Virgin,"35,10749"
The Descent,"12,27"
Final Fantasy VII: Advent Children,"28,12,16,14"
Doom,"28,27,878"
Robots,"16,35,10751,878"
The Adventures of Sharkboy and Lavagirl,"12,10751,878"
Hard Candy,"18,53"
Into the Blue,"28,53,12,80"
The Pacifier,"28,35,18,10751,53"
The Amityville Horror,27
Green Street Hooligans,"80,18"
The Madagascar Penguins in a Christmas Caper,"16,35,10751"
Miss Congeniality 2: Armed and Fabulous,"28,35,10749,9648"
Wedding Crashers,"35,10749"
Broken Flowers,"35,18,9648,10749"
Chaos,"18,28,80"
Herbie Fully Loaded,"35,10751,12,14,10749"
The Longest Yard,"35,18"
The Dukes of Hazzard,"28,12,35"
SPL: Kill Zone,"28,80,18,53"
Hitch,"35,18,10749"
A History of Violence,"18,53,80"
Cheaper by the Dozen 2,"35,10751"
American Pie Presents: Band Camp,35
Sky High,"12,35,10751"
Match Point,"18,53,80,10749"
Memoirs of a Geisha,"18,36,10749"
Zathura: A Space Adventure,"10751,14,878,12,35"
Munich,"18,28,36,53"
Mad Hot Ballroom,"99,10751"
Primer,"878,18,53"
Stay,"9648,53,18"
Cursed,"27,35"
Jarhead,"18,10752"
The Devil's Rejects,"18,27,80"
"Yours, Mine & Ours","35,10751,10749"
Just Like Heaven,"35,14,10749"
Walk the Line,"18,10402,10749"
Must Love Dogs,"10749,35"
Fun with Dick and Jane,35
Hoodwinked!,"16,35,10751"
The Ring Two,"18,27,53"
House of Wax,"27,18"
Love Wrecked,"10751,10749"
The Skeleton Key,"18,27,9648,53"
The Interpreter,"80,53"
Thank You for Smoking,"35,18"
Wolf Creek,"27,53"
Sahara,"28,12,35,18,9648"
A Lot Like Love,"35,18"
The Proposition,"28,12,80,18,53,37"
Syriana,"18,53"
Hostage,"9648,18,53,80"
The Weather Man,"35,18"
Family Guy Presents Stewie Griffin: The Untold Story,"35,16"
Goal! The Dream Begins,18
Racing Stripes,35
Deuce Bigalow: European Gigolo,"35,18"
Me and You and Everyone We Know,"35,18"
Derailed,"18,53"
Monster-in-Law,"10749,35"
The Great Raid,"28,36,10752"
Flightplan,"53,18,9648"
The Constant Gardener,"18,9648,53"
Unleashed,"28,80"
Oliver Twist,"80,18,10751"
The Quiet,"18,53"
Barbie and the Magic of Pegasus 3-D,"16,10751,10749"
Guess Who,"35,10749"
Adam's Apples,"18,35,80"
Casanova,"35,10749"
The World's Fastest Indian,18
Pooh's Heffalump Movie,"16,10751,35,14"
The Protector,"28,80,18,53"
Waiting...,35
The New World,"18,36,10749"
Kronk's New Groove,"16,35,10751"
Domino,"28,80"
Imagine Me & You,"18,35,10749"
Harsh Times,"80,18,53,28"
Are We There Yet?,"12,35,10751,10749"
Land of the Dead,"27,878"
Cinderella Man,"10749,18,36"
March of the Penguins,"99,10751"
In Her Shoes,"35,18,10749"
Kiss Kiss Bang Bang,"35,80,9648,53"
The Wedding Date,"35,10749"
Red Eye,"27,53"
Alone in the Dark,"28,14,27,53"
Sympathy for Lady Vengeance,"18,53"
Tarzan II,"12,16,10751"
The Jacket,53
Junebug,"35,18"
Assault on Precinct 13,53
Prime,"35,18,10749"
Hellraiser: Hellworld,"27,53"
North Country,18
Russian Dolls,"35,18,10749"
The Perfect Man,"35,18,10751,10749"
Just Friends,"35,10749"
Four Brothers,"28,80"
Empire of the Wolves,28
Bewitched,"35,14,10749"
Edison,53
Get Rich or Die Tryin',18
The Big White,"35,80,18"
Election,"80,18"
Stealth,28
7 Seconds,"28,80,53"
Dark Water,"18,27,53"
The Myth,"28,12,35,18,14"
Feast,"28,35,27,53"
Kicking & Screaming,"35,10751"
Nomad: The Warrior,"28,36,10752"
Hide and Seek,"27,9648,53"
Twitches,"35,18,10751,14,10770"
The Brothers Grimm,"12,14,28,35,53"
Valiant,"16,10751,12,35,10752"
"Good Night, and Good Luck.","18,36"
White Noise,"18,27,53"
BloodRayne,"28,12,14,27"
The Three Burials of Melquiades Estrada,"12,80,18,9648,37"
Rumor Has It...,35
Havoc,"18,53"
The Beat That My Heart Skipped,"10402,18,80"
An Unfinished Life,18
Breakfast on Pluto,"18,35"
Rebound,"35,10751"
Transamerica,18
The Batman vs. Dracula,"14,16,27,28,53,878,10751,18,9648"
Revolver,"18,53,80,9648"
The Fog,"27,53"
Hustle & Flow,18
The Dark,"27,53,9648"
The Family Stone,"35,18,10749"
Capote,"80,18"
